filename,temperature,fan,mode,delay,lighting
ac-cloudifier-20240525T164553.jpg,79,low,fan,none,afternoon
ac-cloudifier-20240525T164601.jpg,79,low,fan,none,afternoon
ac-cloudifier-20240525T164604.jpg,79,low,fan,none,afternoon
ac-cloudifier-20240525T164606.jpg,79,low,fan,none,afternoon
ac-cloudifier-20240525T164708.jpg,73,low,eco,none,afternoon
ac-cloudifier-20240525T164711.jpg,73,low,eco,none,afternoon
ac-cloudifier-20240525T164715.jpg,73,low,eco,none,afternoon
ac-cloudifier-20240525T164719.jpg,72,low,eco,none,afternoon
ac-cloudifier-20240525T164734.jpg,71,low,eco,none,afternoon
ac-cloudifier-20240525T164746.jpg,71,low,eco,none,afternoon
ac-cloudifier-20240525T164758.jpg,70,low,eco,none,afternoon
ac-cloudifier-20240525T164810.jpg,69,low,eco,none,afternoon
ac-cloudifier-20240525T164817.jpg,68,low,eco,none,afternoon
ac-cloudifier-20240525T164822.jpg,67,low,eco,none,afternoon
ac-cloudifier-20240525T164829.jpg,66,low,eco,none,afternoon
ac-cloudifier-20240525T164834.jpg,65,low,eco,none,afternoon
ac-cloudifier-20240525T164842.jpg,64,low,eco,none,afternoon
ac-cloudifier-20240525T164859.jpg,74,low,eco,none,afternoon
ac-cloudifier-20240525T164903.jpg,74,low,eco,none,afternoon
ac-cloudifier-20240525T164909.jpg,75,low,eco,none,afternoon
ac-cloudifier-20240525T164916.jpg,76,low,eco,none,afternoon
ac-cloudifier-20240525T164922.jpg,77,low,eco,none,afternoon
ac-cloudifier-20240525T164928.jpg,78,low,eco,none,afternoon
ac-cloudifier-20240525T164934.jpg,79,low,eco,none,afternoon
ac-cloudifier-20240525T164943.jpg,80,low,eco,none,afternoon
ac-cloudifier-20240525T164949.jpg,81,low,eco,none,afternoon
ac-cloudifier-20240525T164958.jpg,82,low,eco,none,afternoon
ac-cloudifier-20240525T165013.jpg,83,low,eco,none,afternoon
ac-cloudifier-20240525T165020.jpg,84,low,eco,none,afternoon
ac-cloudifier-20240525T165026.jpg,85,low,eco,none,afternoon
ac-cloudifier-20240525T165032.jpg,86,low,eco,none,afternoon
ac-cloudifier-20240525T165040.jpg,86,low,eco,none,afternoon
ac-cloudifier-20240525T165105.jpg,86,med,eco,none,afternoon
ac-cloudifier-20240525T165119.jpg,86,high,eco,none,afternoon
ac-cloudifier-20240525T165133.jpg,86,auto,eco,none,afternoon
ac-cloudifier-20240525T165152.jpg,77,low,fan,none,afternoon
ac-cloudifier-20240525T165202.jpg,78,med,fan,none,afternoon
ac-cloudifier-20240525T165209.jpg,77,high,fan,none,afternoon
ac-cloudifier-20240525T165215.jpg,77,low,fan,none,afternoon
ac-cloudifier-20240525T165831.jpg,none,none,none,none,afternoon
ac-cloudifier-20240525T165835.jpg,none,none,none,none,afternoon
ac-cloudifier-20240525T165839.jpg,none,none,none,none,afternoon
ac-cloudifier-20240525T172034.jpg,86,auto,cool,none,afternoon
ac-cloudifier-20240525T172042.jpg,86,low,cool,none,afternoon
ac-cloudifier-20240525T172047.jpg,86,med,cool,none,afternoon
ac-cloudifier-20240525T172052.jpg,86,high,cool,none,afternoon
ac-cloudifier-20240525T172101.jpg,none,none,none,none,afternoon
